北京市C\西城区D\富华南路1586号1层A\ O\Kiki yangR\0592-2952636T\
北京C\西城区D\沂河路与沃尔沃路交汇处南500米路西A\ O\Kiki yangR\84776739T\
北京C\西城区D\顺河镇顺昌路81号A\ O\Kiki yangR\010-80712719T\
北京市C\西城D\枣园镇小枣沟头村A\ O\Kiki yangR\15010755189T\
北京市C\西城D\林山乡詹村村65号A\ O\Kiki yangR\0311-66561020T\
北京C\西城D\沛屯大道东侧金凤凰装饰城15#22号A\ O\Kiki yangR\56036480T\
北京C\西城D\龙潭总部经济城汇润国际2号楼13楼1306号A\ O\Kiki yangR\0755-22919780T\
LinaR\0371-58508009T\ O\北京市C\朝阳区D\槐店镇吉祥东路A\
马振力R\010-57837888T\ O\黑龙江省P\伊春C\伊美D\世纪城南路599号6栋5层505号A\
马振力R\025-82229999T\ O\黑龙江P\伊春C\伊美D\友谊路48-12号罗坡九组B栋4单元1001A\
黑龙江P\伊春市C\乌翠区D\光华东三路489号2栋2楼附206、207号A\ O\王斌R\17710761203T\
黑龙江省P\伊春C\乌翠区D\唯新路58号26栋三层C012A\ O\王斌R\010-59798032T\
黑龙江P\伊春C\乌翠区D\太行山路公寓1幢602号A\ O\王斌R\010-85761533T\
黑龙江省P\伊春市C\乌翠D\下洼镇东下洼村东首A\ O\王斌R\0571-89852052T\
黑龙江P\伊春市C\乌翠D\中意一路天剑华城A座1706房A\ O\王斌R\010-85699999T\
黑龙江省P\伊春C\乌翠D\雉城街道海兴路655号-1006A\ O\王斌R\0433-5923888T\
黑龙江P\伊春C\乌翠D\长征路与光明路交叉口金色华府2-122、2-123、2-124、（申报承诺）A\ O\王斌R\62520088T\
韦柳如R\029-88440811T\ O\黑龙江P\伊春市C\友好区D\宁老庄镇长营村长营A\
韦柳如R\010-63885001T\ O\黑龙江省P\伊春C\友好区D\众幕建材机电物流园11号楼3-2号A\
韦柳如R\6482 0369T\ O\黑龙江P\伊春C\友好区D\通泰路66号1号楼1单元18层90号A\
韦柳如R\010-57138137T\ O\黑龙江省P\伊春市C\友好D\九里街道九里山西路1号空间信息产业园254室A\
韦柳如R\021-63224133T\ O\黑龙江P\伊春市C\友好D\普安镇鹤鸣路530号A\
韦柳如R\18604781910T\ O\黑龙江省P\伊春C\友好D\恰尔巴格乡博斯坦村三组7号A\
韦柳如R\0755-82964491T\ O\黑龙江P\伊春C\友好D\定江镇“桂北商贸城”1幢2层和1层2号A\
黑龙江P\伊春市C\嘉荫县D\丰乐南路281号（长江商贸城）8幢44、46室A\ O\洪庆R\010-62870300T\
黑龙江省P\伊春C\嘉荫县D\金三街85-2号A\ O\洪庆R\15101114469T\
黑龙江P\伊春C\嘉荫县D\汉王镇南望梁台子村A\ O\洪庆R\025-66677777T\
黑龙江省P\伊春市C\嘉荫D\泉秀路现代家居广场B馆506A\ O\洪庆R\010-85699999T\
黑龙江P\伊春市C\嘉荫D\纺北路阳光时代第1栋西单元2603室A\ O\洪庆R\13832111565T\
黑龙江省P\伊春C\嘉荫D\宋庄路26号院11号楼23层2306A\ O\洪庆R\021-54846663T\
黑龙江P\伊春C\嘉荫D\长运花苑9幢1单元402室A\ O\洪庆R\010-88845858T\
高叶珍R\010-64755909T\ O\黑龙江P\伊春市C\汤旺县D\西关世纪购物广场C3-03A\
高叶珍R\0756-8996261T\ O\黑龙江省P\伊春C\汤旺县D\聚才路教育用品采购基地2-2楼106A\
高叶珍R\010-86207790T\ O\黑龙江P\伊春C\汤旺县D\长虹金域中央五期7栋3、4楼整层A\
高叶珍R\021-37681290T\ O\黑龙江省P\伊春市C\汤旺D\创业广场14号楼（明月街236号）火炬电子商务大厦301-111室A\
高叶珍R\0371-58508009T\ O\黑龙江P\伊春市C\汤旺D\二环南路5266号3楼B113号A\
高叶珍R\029-89016105T\ O\黑龙江省P\伊春C\汤旺D\鹿寨镇创业路15号鹿城名都120号商铺A\
高叶珍R\010-65771330T\ O\黑龙江P\伊春C\汤旺D\团结路与建昌路交汇处2#格4楼A\
黑龙江P\伊春市C\丰林县D\古蔺镇映月村三组39号A\ O\秦骏鹏R\18815284313T\
黑龙江省P\伊春C\丰林县D\白石路107号A\ O\秦骏鹏R\010-85761533T\
黑龙江P\伊春C\丰林县D\河东街道邓家自然新村13栋5号店面A\ O\秦骏鹏R\0755-26418284T\
黑龙江省P\伊春市C\丰林D\文昌雅苑2幢育贤东路170号A\ O\秦骏鹏R\010-65436406T\
黑龙江P\伊春市C\丰林D\双坡南路121号门面A\ O\秦骏鹏R\027-87223093T\
黑龙江省P\伊春C\丰林D\汉江西路99号A\ O\秦骏鹏R\010-84676258T\
黑龙江P\伊春C\丰林D\天津路与海滨四路交汇处A\ O\秦骏鹏R\0316-2186992T\
李春梅R\65919720T\ O\黑龙江P\伊春市C\大箐山县D\奥体路1号附42-45号A\
李春梅R\62520088T\ O\黑龙江省P\伊春C\大箐山县D\广陵镇宁界村十组A\
李春梅R\13510208015T\ O\黑龙江P\伊春C\大箐山县D\曙光街建井三处高层商住楼一单元5003室A\
李春梅R\0573-89268523T\ O\黑龙江省P\伊春市C\大箐山D\牛马司镇牛马司村晚姑组11号A\
李春梅R\18581050099T\ O\黑龙江P\伊春市C\大箐山D\安文镇新兴街306-307号A\
李春梅R\021-5633 3653T\ O\黑龙江省P\伊春C\大箐山D\红旗南路3号永丰楼1栋6号门面A\
李春梅R\13611822583T\ O\黑龙江P\伊春C\大箐山D\祖庙街道朝安南路丰收街1座1层自编231号（住所申报）A\
黑龙江P\伊春市C\南岔县D\回春堂药业有限公司办公楼三楼A\ O\谢新建R\010-56199399T\
黑龙江省P\伊春C\南岔县D\永安街35号院14号楼8号A\ O\谢新建R\0999-8790867T\
黑龙江P\伊春C\南岔县D\常青路与后襄河北路交汇处第1幢1单元22层6号A\ O\谢新建R\0999-8790867T\
黑龙江省P\伊春市C\南岔D\工农路与太昊路交叉口向北100米A\ O\谢新建R\0898-68716117T\
黑龙江P\伊春市C\南岔D\金宇路9号金宇装饰材料城E1-5号A\ O\谢新建R\010-59534290T\
黑龙江省P\伊春C\南岔D\天星桥正街76号4楼A\ O\谢新建R\021-34698620T\
黑龙江P\伊春C\南岔D\东坡斜巷64号9排6号A\ O\谢新建R\021-34679368T\
马玲R\010-57138137T\ O\黑龙江P\伊春市C\金林区D\石棋盘路40号A\
马玲R\010-59432786T\ O\黑龙江省P\伊春C\金林区D\胡家湾小学内A\
马玲R\82825072T\ O\黑龙江P\伊春C\金林区D\华巷9号1栋1层14号A\
马玲R\010-59108001T\ O\黑龙江省P\伊春市C\金林D\高河镇龙山路231号A\
马玲R\010-85761533T\ O\黑龙江P\伊春市C\金林D\城关镇前进西路北侧A\
马玲R\0756-3615009T\ O\黑龙江省P\伊春C\金林D\国贸路6号瑞特广场2306房A\
马玲R\024-31883708T\ O\黑龙江P\伊春C\金林D\跃进路118，120号首层6-8 1.35M+B-F轴自编02A\
黑龙江P\伊春市C\铁力市D\华阳街道安公路二段398号观景苑1栋1层8号A\ O\王坚R\52926669T\
黑龙江省P\伊春C\铁力市D\金盏乡皮村村西5号厂房(谷仓科技孵化器1108号)A\ O\王坚R\010-85754231T\
黑龙江P\伊春C\铁力市D\豫中国际商贸城31幢109-114号A\ O\王坚R\010-60606666T\
黑龙江省P\伊春市C\铁力D\棠下镇新昌路100号108室自编之一A\ O\王坚R\0755-82964491T\
黑龙江P\伊春市C\铁力D\关上镇日新办事处点晴名苑12幢1单元402号A\ O\王坚R\18210549929T\
黑龙江省P\伊春C\铁力D\学府路690号金鼎科技园内二号平台B1幢4楼483号A\ O\王坚R\027-84555200T\
黑龙江P\伊春C\铁力D\中山大道西6、8号天河购物中心第13层自编1305-C14A\ O\王坚R\13121549717T\
徐燕萍R\0532-66067798T\ O\黑龙江P\佳木斯市C\向阳区D\岗集镇合淮路与兴业大道交口2幢厂房A\
徐燕萍R\87632836T\ O\黑龙江省P\佳木斯C\向阳区D\北河湾路57号2幢12号A\
徐燕萍R\13810118453T\ O\黑龙江P\佳木斯C\向阳区D\柳泉路139号齐鲁电商谷A1栋1层101号A\
徐燕萍R\18621848258T\ O\黑龙江省P\佳木斯市C\向阳D\潭中西路15号富丽嘉园1栋1-5号A\
徐燕萍R\13581869069T\ O\黑龙江P\佳木斯市C\向阳D\北石店镇东王台村泰信街8号楼下20号商铺A\
徐燕萍R\13526585771T\ O\黑龙江省P\佳木斯C\向阳D\海港路22号A\
徐燕萍R\87632836T\ O\黑龙江P\佳木斯C\向阳D\长治路111号世贸中心B1201-1号A\
黑龙江P\佳木斯市C\前进区D\田心东门馨柳楼10栋18号A\ O\陈亦豪R\025-68586767T\
黑龙江省P\佳木斯C\前进区D\虎山街道溪东江东二街210号A\ O\陈亦豪R\010-59344754T\
黑龙江P\佳木斯C\前进区D\聚珍园广场外围H1121415A\ O\陈亦豪R\0755-86013388T\
黑龙江省P\佳木斯市C\前进D\德兴里1号1幢平街第二十九层A\ O\陈亦豪R\0757-81251111T\
黑龙江P\佳木斯市C\前进D\蔡子池街道办事处五一东路国贸新城24层17室A\ O\陈亦豪R\18605287036T\
黑龙江省P\佳木斯C\前进D\徐圩乡人民政府院内A\ O\陈亦豪R\0756-3628829T\
黑龙江P\佳木斯C\前进D\吴家峪居委会三组A\ O\陈亦豪R\59067777T\
颜玲R\010-65690111T\ O\黑龙江P\佳木斯市C\东风区D\安埠街278号401栋-1-1层29号A\
颜玲R\18616883982T\ O\黑龙江省P\佳木斯C\东风区D\成龙大道二段1666号A1栋1层01号附67号A\
颜玲R\18610735556T\ O\黑龙江P\佳木斯C\东风区D\中轻大厦2#楼418BA\
颜玲R\010-64098075T\ O\黑龙江省P\佳木斯市C\东风D\新华街道办事处新华工业园联兴路9号A\
颜玲R\65088272T\ O\黑龙江P\佳木斯市C\东风D\谭家团结工业园23号A\
颜玲R\010-59768988T\ O\黑龙江省P\佳木斯C\东风D\幸福花城四期31号楼3单元101室A\
颜玲R\0731-88661888T\ O\黑龙江P\佳木斯C\东风D\纬一路北前屯村委会对面A\
黑龙江P\佳木斯市C\郊区D\新南路118号5楼F8C号A\ O\唐国英R\65088272T\
黑龙江省P\佳木斯C\郊区D\安昌街道长乐村大池畈西侧A\ O\唐国英R\82781919T\
黑龙江P\佳木斯C\郊区D\车站大道华盟商务广场3711室西首A\ O\唐国英R\0755-86013388T\
吴才林R\025-82229999T\ O\黑龙江P\佳木斯市C\桦南县D\南徐大道298号A\
吴才林R\18801372116T\ O\黑龙江省P\佳木斯C\桦南县D\CBD东都3-1-（1-2层）05A\
吴才林R\80470246T\ O\黑龙江P\佳木斯C\桦南县D\柴桑国际中心A栋606A\
吴才林R\80413051T\ O\黑龙江省P\佳木斯市C\桦南D\南门北街16号外滩1号4幢1单元12层1-1205A\
吴才林R\52926669T\ O\黑龙江P\佳木斯市C\桦南D\纬一花园宜联贷写字楼8层A\
吴才林R\89996661T\ O\黑龙江省P\佳木斯C\桦南D\泉塘街道办事处物质总公司萝卜塘仓库A\
吴才林R\010-80729990T\ O\黑龙江P\佳木斯C\桦南D\新桥街道金元四路13号三楼南面A\
黑龙江P\佳木斯市C\桦川县D\民政街353号1-7-BA\ O\洪前辉R\82731218T\
黑龙江省P\佳木斯C\桦川县D\北城天街33号负1-16A\ O\洪前辉R\021-52188097-821T\
黑龙江P\佳木斯C\桦川县D\公园路1935项目二期三层（集群注册）A\ O\洪前辉R\010-52321686T\
黑龙江省P\佳木斯市C\桦川D\鲁磨路6号置业楼207室A\ O\洪前辉R\029-89016105T\
黑龙江P\佳木斯市C\桦川D\湖畔路北段366号1栋3楼1号A\ O\洪前辉R\027-59883599T\
黑龙江省P\佳木斯C\桦川D\超洋路1号超洋花园4栋3单元203号A\ O\洪前辉R\18815284313T\
黑龙江P\佳木斯C\桦川D\迎丰西路（英泰国际综合楼2号楼902号）A\ O\洪前辉R\15110085072T\
秦敏R\8010-62416170T\ O\黑龙江P\佳木斯市C\汤原县D\中鱼口镇游港街道A\
秦敏R\010-67312300T\ O\黑龙江省P\佳木斯C\汤原县D\三甲街道保家村235号A\
秦敏R\0595-85199999T\ O\黑龙江P\佳木斯C\汤原县D\雁塔南路318号曲江文化产业孵化中心A座11806室A\
秦敏R\010-62247258T\ O\黑龙江省P\佳木斯市C\汤原D\桥亭乡苍源村委苍源村委大楼A\
秦敏R\13567134667T\ O\黑龙江P\佳木斯市C\汤原D\创业路26号A\
秦敏R\020-38655166T\ O\黑龙江省P\佳木斯C\汤原D\大荆镇大荆村（镇政府旁）A\
秦敏R\13611822583T\ O\黑龙江P\佳木斯C\汤原D\滨海八路700号A\
黑龙江P\佳木斯市C\同江市D\王店镇王寨村杨小庄15户A\ O\陈毛平R\021-64359166T\
黑龙江省P\佳木斯C\同江市D\东环路东、南苑路南A\ O\陈毛平R\0532-66990688T\
黑龙江P\佳木斯C\同江市D\兰工坪路457号地上1层004室A\ O\陈毛平R\82533170T\
黑龙江省P\佳木斯市C\同江D\建颍乡陈屯村张海队A\ O\陈毛平R\0571 88069272T\
黑龙江P\佳木斯市C\同江D\新村路12－101号A\ O\陈毛平R\010-67731270T\
黑龙江省P\佳木斯C\同江D\民生路26号（凯帆大厦）1-707A\ O\陈毛平R\010-59108001T\
黑龙江P\佳木斯C\同江D\中鑫上城C1717室A\ O\陈毛平R\13511081288T\
杨科雄R\0532-66067798T\ O\黑龙江P\佳木斯市C\富锦市D\解放北路138号12-10室A\
杨科雄R\57837888-8025T\ O\黑龙江省P\佳木斯C\富锦市D\武原街道城北西路171号-201号A\
杨科雄R\010-65690111T\ O\黑龙江P\佳木斯C\富锦市D\城关镇兴荣路10号(原医药公司院内401房)A\
杨科雄R\010-6500 7645T\ O\黑龙江省P\佳木斯市C\富锦D\磁涧镇汇通大道西路第6间A\
杨科雄R\010-85132114T\ O\黑龙江P\佳木斯市C\富锦D\昆沙路219号A\
杨科雄R\029-88440811T\ O\黑龙江省P\佳木斯C\富锦D\佳灵路3号1栋10层1006号A\
杨科雄R\18768113050T\ O\黑龙江P\佳木斯C\富锦D\南坪西路３２号２５幢A\
黑龙江P\佳木斯市C\抚远市D\成团镇大荣村大荣粮站内第二粮库江粮大米厂A\ O\武青青R\010-56380995T\
黑龙江省P\佳木斯C\抚远市D\椰林镇文化路85号A\ O\武青青R\4099086T\
黑龙江P\佳木斯C\抚远市D\八一路乾禧苑A\ O\武青青R\010-84318380T\
黑龙江省P\佳木斯市C\抚远D\沿河南路9号4栋A\ O\武青青R\010-85870201T\
黑龙江P\佳木斯市C\抚远D\丽景名郡3栋2单元502室A\ O\武青青R\029-88440811T\
黑龙江省P\佳木斯C\抚远D\大马镇靳庄村A\ O\武青青R\13683625075T\
黑龙江P\佳木斯C\抚远D\民生路235号海航保利国际中心38层A\ O\武青青R\010-64828896T\
寺贵云R\59067777T\ O\黑龙江P\七台河市C\新兴区D\南城街道胜和路胜和商住广场A座7楼B1号A\
寺贵云R\01058561539T\ O\黑龙江省P\七台河C\新兴区D\汉城商业街276号A\
寺贵云R\025-51885765T\ O\黑龙江P\七台河C\新兴区D\民族路77号华强电子城5层181号A\
寺贵云R\021-52188097-821T\ O\黑龙江省P\七台河市C\新兴D\谢桥镇路庄村赵队3号A\
寺贵云R\010-56024877T\ O\黑龙江P\七台河市C\新兴D\二环路南四段51号1栋11层2号A\
寺贵云R\010-57672837T\ O\黑龙江省P\七台河C\新兴D\南三好街7-25号（26-2）A\
寺贵云R\66839914T\ O\黑龙江P\七台河C\新兴D\文昌东路15号江广智慧城东苑四号楼A\
黑龙江P\七台河市C\桃山区D\址 东大街牛王庙段100号1栋1单元19层1905号附B63房A\ O\张辉R\027-87223093T\
黑龙江省P\七台河C\桃山区D\重庆南路86号2栋1单元202A\ O\张辉R\021-54846663T\
黑龙江P\七台河C\桃山区D\睢城镇永安路7号睢宁碧桂园8号楼1-101A\ O\张辉R\023-67100828-802T\
黑龙江省P\七台河市C\桃山D\旧州组团E-12-01、E-12-02地块书香府第第5幢1层22号A\ O\张辉R\010-85132114T\
黑龙江P\七台河市C\桃山D\世纪大道801号(昭阳工业园)8#二层东北侧A\ O\张辉R\0531-85105016T\
黑龙江省P\七台河C\桃山D\咸嘉湖街道晨风路86号悦峰园24栋501房A\ O\张辉R\010-60590315T\
黑龙江P\七台河C\桃山D\商业巷11号2号楼4单元4224室A\ O\张辉R\18581050099T\
张晓山R\0797-8356742T\ O\黑龙江P\七台河市C\茄子河区D\姬家乡泾吴村四组A\
张晓山R\0898-68716117T\ O\黑龙江省P\七台河C\茄子河区D\大义乡东坪村8组A\
张晓山R\0571-57892976T\ O\黑龙江P\七台河C\茄子河区D\清河街1309号2-202室A\
张晓山R\020-85539127T\ O\黑龙江省P\七台河市C\茄子河D\伍家岭街道双拥路656号听香水榭雅苑3栋1101号房A\
张晓山R\0531-58688888T\ O\黑龙江P\七台河市C\茄子河D\达实商贸城A5-107、108A\
张晓山R\010-85870201T\ O\黑龙江省P\七台河C\茄子河D\火车站东路18号4栋016室A\
张晓山R\65919720T\ O\黑龙江P\七台河C\茄子河D\春江镇创业西路23号A\
黑龙江P\七台河市C\勃利县D\红莲湖商务大厦1207号A\ O\张祖林R\0756-8996261T\
黑龙江省P\七台河C\勃利县D\槐店镇颍河大道中段路东A\ O\张祖林R\021-52720057T\
黑龙江P\七台河C\勃利县D\漹城镇迎春南路649、651号A\ O\张祖林R\13526585771T\
黑龙江省P\七台河市C\勃利D\柏溪镇育才路万兴现代城C组团5幢1-22、23号A\ O\张祖林R\021-51170266T\
黑龙江P\七台河市C\勃利D\仙月环路899号新马动力创新园2.1期研发厂房D栋6楼A\ O\张祖林R\010-62151588T\
黑龙江省P\七台河C\勃利D\古林镇薛家村A\ O\张祖林R\010-85525912T\
黑龙江P\七台河C\勃利D\中山北路972号A1-02室A\ O\张祖林R\0563-4024888T\
刘少华R\010-87166998T\ O\黑龙江P\牡丹江市C\东安区D\慧觉镇富荣村三组A\
刘少华R\62520088T\ O\黑龙江省P\牡丹江C\东安区D\花溪街道苦竹坝一栋1号A\
刘少华R\010-57672837T\ O\黑龙江P\牡丹江C\东安区D\马鞍山乡红旗村委会田口街场A\
刘少华R\0531-85105016T\ O\黑龙江省P\牡丹江市C\东安D\正清路杨村村一组A\
刘少华R\0755-86360631T\ O\黑龙江P\牡丹江市C\东安D\卢峰镇兴隆街A\
刘少华R\18033685971T\ O\黑龙江省P\牡丹江C\东安D\厚镇新旺村太塘门坡A\
刘少华R\010 - 85958849T\ O\黑龙江P\牡丹江C\东安D\新华街道办事处魏庄村365号A\
黑龙江P\牡丹江市C\阳明区D\南二路128号三楼B-07号A\ O\胡瑞R\010—51846868T\
黑龙江省P\牡丹江C\阳明区D\淑阳镇池套村A\ O\胡瑞R\0571-58123284T\
黑龙江P\牡丹江C\阳明区D\望城路8号院2门202-211A\ O\胡瑞R\0531-82608889T\
黑龙江省P\牡丹江市C\阳明D\筑先路华庭首府1号楼楼下A\ O\胡瑞R\021-54846663T\
黑龙江P\牡丹江市C\阳明D\城西路军安花苑西侧一八七第四期铺面A\ O\胡瑞R\020-87347778T\
黑龙江省P\牡丹江C\阳明D\学士街道邦盛水岸御园4栋1单元2203房A\ O\胡瑞R\17602124810T\
黑龙江P\牡丹江C\阳明D\淝河乡马路村A\ O\胡瑞R\81804193T\
曾艳珺R\6482 0369T\ O\黑龙江P\牡丹江市C\爱民区D\西昌路20号2幢1单元2层15号A\
曾艳珺R\0516-83991669T\ O\黑龙江省P\牡丹江C\爱民区D\九都路69号亚威金港商务中心920A\
曾艳珺R\13917642213T\ O\黑龙江P\牡丹江C\爱民区D\沱江镇民俗园A7栋A\
曾艳珺R\010–88993123T\ O\黑龙江省P\牡丹江市C\爱民D\环城西路南段688弄4号A\
曾艳珺R\01058075080T\ O\黑龙江P\牡丹江市C\爱民D\普兴镇东街44号附1、2、3号A\
曾艳珺R\028-87436209T\ O\黑龙江省P\牡丹江C\爱民D\新华西道118-8号新华步行街15栋330号A\
曾艳珺R\15801153746T\ O\黑龙江P\牡丹江C\爱民D\红旗镇广安路金银花园D座A2号商铺A\
黑龙江P\牡丹江市C\西安区D\石家冲办事处人民南路(汇展中心)E栋202A\ O\邓存玉R\18600686363T\
黑龙江省P\牡丹江C\西安区D\南洲镇兴盛东路（汇金国际四栋1402）A\ O\邓存玉R\01051050575T\
黑龙江P\牡丹江C\西安区D\石马镇棠阁村A\ O\邓存玉R\0755-22919780T\
黑龙江省P\牡丹江市C\西安D\大庆路蔚蓝国际2期c座2205室A\ O\邓存玉R\025-57053780T\
黑龙江P\牡丹江市C\西安D\郭村镇老运输站大院A\ O\邓存玉R\0512-65723673T\
黑龙江省P\牡丹江C\西安D\广场北路广瑞公寓10栋1-101室A\ O\邓存玉R\8010-62416170T\
黑龙江P\牡丹江C\西安D\秋滨街道张坞垅（金华汤齿齿轮箱有限公司房产）南侧A\ O\邓存玉R\010-85654257T\
龚姮R\021-37681290T\ O\黑龙江P\牡丹江市C\林口县D\福建路良种场31号A\
龚姮R\010-84417818T\ O\黑龙江省P\牡丹江C\林口县D\环城西路南段688弄4号A\
龚姮R\0557-3665757T\ O\黑龙江P\牡丹江C\林口县D\双塔街道县河西路19号A\
龚姮R\023-67100828-802T\ O\黑龙江省P\牡丹江市C\林口D\建宁东路延长线1号恒丰蔬菜仓库C栋11、12、13、14号A\
龚姮R\64966875T\ O\黑龙江P\牡丹江市C\林口D\二环北路360号803室A\
龚姮R\010-64813450T\ O\黑龙江省P\牡丹江C\林口D\巷荫岭10号A\
龚姮R\010-56842323-8821T\ O\黑龙江P\牡丹江C\林口D\瓯海大道2389弄17号1楼、4楼A\
黑龙江P\牡丹江市C\牡丹江经济技术开发区D\捞刀河街道捞刀河村十四组653号房A\ O\邓健R\010-80712719T\
黑龙江省P\牡丹江C\牡丹江经济技术开发区D\益阳大道金源大厦C座12楼1205A\ O\邓健R\53652796T\
黑龙江P\牡丹江C\牡丹江经济技术开发区D\碾子头村1-5号A\ O\邓健R\010-65563100T\
黑龙江省P\牡丹江市C\牡丹江开发区D\凉亭坳乡竹林湖村大竹林组1号A\ O\邓健R\010-57672837T\
黑龙江P\牡丹江市C\牡丹江开发区D\南白象街道温瑞大道2726号A\ O\邓健R\0592-2208835T\
黑龙江省P\牡丹江C\牡丹江开发区D\渝州路4号34-9A\ O\邓健R\021-20865313T\
黑龙江P\牡丹江C\牡丹江开发区D\清河办事处贾庄村教门庄22户A\ O\邓健R\023-67100828-802T\
刘兵R\0760-88861888T\ O\黑龙江P\牡丹江市C\绥芬河市D\火车站西侧金悦酒店511号A\
刘兵R\15010755189T\ O\黑龙江省P\牡丹江C\绥芬河市D\下东营8号楼1单元6层601A\
刘兵R\82781919T\ O\黑龙江P\牡丹江C\绥芬河市D\东葛路118号南宁青秀万达广场西1栋4412号A\
刘兵R\13121549717T\ O\黑龙江省P\牡丹江市C\绥芬河D\豪德商贸城J10号楼一至二层0105号房A\
刘兵R\01051050575T\ O\黑龙江P\牡丹江市C\绥芬河D\望疃镇长河村A\
刘兵R\0551-65196295T\ O\黑龙江省P\牡丹江C\绥芬河D\中兴大道128号A\
刘兵R\18833539729T\ O\黑龙江P\牡丹江C\绥芬河D\澧浦镇小雅畈村和谐街13号A\
黑龙江P\牡丹江市C\海林市D\捞刀河街道捞刀河村十四组653号房A\ O\李砚伟R\010-65503887T\
黑龙江省P\牡丹江C\海林市D\南屏镇静十二村A\ O\李砚伟R\0755-26463388T\
黑龙江P\牡丹江C\海林市D\汤山城村一组A\ O\李砚伟R\010-85525912T\
黑龙江省P\牡丹江市C\海林D\五一路周口饭店家属院二单元六楼南户A\ O\李砚伟R\021-61093880T\
黑龙江P\牡丹江市C\海林D\永中街道京顺路4弄38号第一层A\ O\李砚伟R\010-59725618T\
黑龙江省P\牡丹江C\海林D\大庸桥办事处大庸桥居委会山城上品4-2栋502室A\ O\李砚伟R\0563-4024888T\
黑龙江P\牡丹江C\海林D\陈桥镇三王村A\ O\李砚伟R\010-59344754T\
周英文R\021-80235566T\ O\黑龙江P\牡丹江市C\宁安市D\南定镇山铝游泳馆对面房屋A\
周英文R\010-65771330T\ O\黑龙江省P\牡丹江C\宁安市D\张家湾路190-2号A\
周英文R\13121549717T\ O\黑龙江P\牡丹江C\宁安市D\马坡岭街道星沙大道南9号才子佳郡23栋1621号房A\
周英文R\010-67802566T\ O\黑龙江省P\牡丹江市C\宁安D\北大街卫巷10号A\
周英文R\010-60278906T\ O\黑龙江P\牡丹江市C\宁安D\江浦街道团结路8号万锦花园30幢07室A\
周英文R\18621848258T\ O\黑龙江省P\牡丹江C\宁安D\王店镇宁小村A\
周英文R\010-85132114T\ O\黑龙江P\牡丹江C\宁安D\南京与中州路交叉口向东200米路南博远名苑2号楼3单元501室A\
黑龙江P\牡丹江市C\穆棱市D\人民西路58号A\ O\张贺春R\010-59327388T\
黑龙江省P\牡丹江C\穆棱市D\金二路60号A\ O\张贺春R\010-80548229T\
黑龙江P\牡丹江C\穆棱市D\李中镇天鹅村A\ O\张贺春R\89448259T\
黑龙江省P\牡丹江市C\穆棱D\富川路摇光星苑6-A-1门面A\ O\张贺春R\0731-88661888T\
黑龙江P\牡丹江市C\穆棱D\建设南路环球国际商贸中心2111号A\ O\张贺春R\0826-2368912T\
黑龙江省P\牡丹江C\穆棱D\中厡路与爱民路交叉口南A\ O\张贺春R\80318388T\
黑龙江P\牡丹江C\穆棱D\城厢镇南郊银川路88号A\ O\张贺春R\010-58331888T\
刘征宏R\13760647882T\ O\黑龙江P\牡丹江市C\东宁市D\莲塘街道国威路坳下村148号8楼804室A\
刘征宏R\8010-62416170T\ O\黑龙江省P\牡丹江C\东宁市D\赭山东路26号三楼321室A\
刘征宏R\020-38891740T\ O\黑龙江P\牡丹江C\东宁市D\芹阳办事处芹南路70号（龙顶.西子城）8幢2-402室A\
刘征宏R\010-51660200T\ O\黑龙江省P\牡丹江市C\东宁D\金牛镇金达路大川盛世A\
刘征宏R\01051581043T\ O\黑龙江P\牡丹江市C\东宁D\三十里铺镇三十里铺村A\
刘征宏R\13646818331T\ O\黑龙江省P\牡丹江C\东宁D\北京路49号天悦建材城商务楼3幢5号三层A\
刘征宏R\0592-2952636T\ O\黑龙江P\牡丹江C\东宁D\迎丰西路12栋105号A\
黑龙江P\黑河市C\爱辉区D\徽山路11号13号A\ O\杨荣R\0531-82608889T\
黑龙江省P\黑河C\爱辉区D\振兴大道333号正荣大湖之都酒店综合楼1423室A\ O\杨荣R\010-6500 7645T\
黑龙江P\黑河C\爱辉区D\谷塘村栗大屋组284号A\ O\杨荣R\010-56139621T\
黑龙江省P\黑河市C\爱辉D\南小巷55号宏腾大厦1幢21层12108号A\ O\杨荣R\13760647882T\
黑龙江P\黑河市C\爱辉D\天硕名都二期1号楼三单元102室A\ O\杨荣R\65725316T\
黑龙江省P\黑河C\爱辉D\城司马光东路旅游局门面房A\ O\杨荣R\010-60278906T\
黑龙江P\黑河C\爱辉D\响石岭街道李家冲A\ O\杨荣R\010-84676258T\
张连理R\18611901218T\ O\黑龙江P\黑河市C\逊克县D\青年路西里3号院10号楼2层F2-18A\
张连理R\025-58865160T\ O\黑龙江省P\黑河C\逊克县D\安心街123号402室A\
张连理R\010-67209880T\ O\黑龙江P\黑河C\逊克县D\解放北路855号A4栋1单元1层A423号A\
张连理R\56036480T\ O\黑龙江省P\黑河市C\逊克D\北环广场县农机修理制造厂内A\
张连理R\010-85654257T\ O\黑龙江P\黑河市C\逊克D\成功大道东段A\
张连理R\021-63933333T\ O\黑龙江省P\黑河C\逊克D\井湾路259号华欣公寓4栋101房A\
张连理R\66839914T\ O\黑龙江P\黑河C\逊克D\渝州路4号17-14号A\
